epoch,graph_loss,lr-Adam,step,test_loss,test_mae,test_mape,test_mse,train_baseline_loss,train_loss,train_mae,train_mape,train_mse,val_loss,val_mae,val_mape,val_mse
23,-0.0238090418279171,,4031,,,,,0.3262079656124115,0.32608190178871155,0.32608193159103394,1.6535542011260986,0.17060184478759766,,,,
,,0.05,4032,,,,,,,,,,,,,
24,,,4199,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
24,-0.02381955459713936,,4199,,,,,0.3259578049182892,0.32598090171813965,0.3259810209274292,1.6573638916015625,0.1703222543001175,,,,
,,0.05,4200,,,,,,,,,,,,,
25,,,4367,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
25,-0.024076994508504868,,4367,,,,,0.3259458839893341,0.32598254084587097,0.3259826600551605,1.651798129081726,0.1703234612941742,,,,
,,0.05,4368,,,,,,,,,,,,,
26,,,4535,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
26,-0.022601276636123657,,4535,,,,,0.3259241580963135,0.32585081458091736,0.32585087418556213,1.656522274017334,0.17010439932346344,,,,
,,0.05,4536,,,,,,,,,,,,,
27,,,4703,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
27,-0.02369634248316288,,4703,,,,,0.3256208002567291,0.3258877992630005,0.3258877098560333,1.6539030075073242,0.17011094093322754,,,,
,,0.05,4704,,,,,,,,,,,,,
28,,,4871,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
28,-0.022054586559534073,,4871,,,,,0.3256971538066864,0.3256336748600006,0.32563361525535583,1.6627986431121826,0.16973675787448883,,,,
,,0.05,4872,,,,,,,,,,,,,
29,,,5039,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
29,-0.021467233076691628,,5039,,,,,0.32544076442718506,0.325634628534317,0.32563453912734985,1.6527490615844727,0.16966034471988678,,,,
,,0.05,5040,,,,,,,,,,,,,
30,,,5207,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
30,-0.020834829658269882,,5207,,,,,0.32553955912590027,0.3255440890789032,0.3255441188812256,1.7342114448547363,0.1694413125514984,,,,
,,0.05,5208,,,,,,,,,,,,,
31,,,5375,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
31,-0.01969991624355316,,5375,,,,,0.3253481388092041,0.32542750239372253,0.32542750239372253,1.66812002658844,0.16923785209655762,,,,
,,0.05,5376,,,,,,,,,,,,,
32,,,5543,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
32,-0.01989450491964817,,5543,,,,,0.32522353529930115,0.32537364959716797,0.3253737688064575,1.6537694931030273,0.16913902759552002,,,,
,,0.05,5544,,,,,,,,,,,,,
33,,,5711,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
33,-0.019104842096567154,,5711,,,,,0.3252357840538025,0.3253040909767151,0.32530418038368225,1.6519291400909424,0.1689734011888504,,,,
,,0.05,5712,,,,,,,,,,,,,
34,,,5879,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
34,-0.01793830655515194,,5879,,,,,0.3253152072429657,0.3251393735408783,0.32513928413391113,1.6536211967468262,0.16859588027000427,,,,
,,0.05,5880,,,,,,,,,,,,,
35,,,6047,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
35,-0.019441712647676468,,6047,,,,,0.32543081045150757,0.3253989815711975,0.3253990709781647,1.6454204320907593,0.16921980679035187,,,,
,,0.05,6048,,,,,,,,,,,,,
36,,,6215,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
36,-0.018130362033843994,,6215,,,,,0.3253895938396454,0.32530534267425537,0.325305312871933,1.6530065536499023,0.1689707636833191,,,,
,,0.05,6216,,,,,,,,,,,,,
37,,,6383,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
37,-0.017922813072800636,,6383,,,,,0.32505354285240173,0.32516705989837646,0.32516711950302124,1.6679108142852783,0.1685967594385147,,,,
,,0.05,6384,,,,,,,,,,,,,
38,,,6551,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
38,-0.016774499788880348,,6551,,,,,0.32524770498275757,0.3250906467437744,0.32509085536003113,1.6659148931503296,0.16851754486560822,,,,
,,0.05,6552,,,,,,,,,,,,,
39,,,6719,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
39,-0.017087159678339958,,6719,,,,,0.3250371515750885,0.3250157833099365,0.3250158429145813,1.6515328884124756,0.16833002865314484,,,,
,,0.05,6720,,,,,,,,,,,,,
40,,,6887,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
40,-0.018444931134581566,,6887,,,,,0.32495397329330444,0.325206995010376,0.3252068758010864,1.649404525756836,0.16870397329330444,,,,
,,0.05,6888,,,,,,,,,,,,,
41,,,7055,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
41,-0.01572013832628727,,7055,,,,,0.3250589072704315,0.32481637597084045,0.32481637597084045,1.6513561010360718,0.16797375679016113,,,,
,,0.05,7056,,,,,,,,,,,,,
42,,,7223,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
42,-0.01631408929824829,,7223,,,,,0.32521215081214905,0.3249989151954651,0.32499900460243225,1.6513473987579346,0.1683589220046997,,,,
,,0.05,7224,,,,,,,,,,,,,
43,,,7391,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
43,-0.018137138336896896,,7391,,,,,0.3250912129878998,0.3252660930156708,0.32526612281799316,1.6539961099624634,0.16869184374809265,,,,
,,0.05,7392,,,,,,,,,,,,,
44,,,7559,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
44,-0.015977567061781883,,7559,,,,,0.3249444365501404,0.32491934299468994,0.3249194025993347,1.6481784582138062,0.1681940257549286,,,,
,,0.05,7560,,,,,,,,,,,,,
45,,,7727,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
45,-0.015787234529852867,,7727,,,,,0.32520654797554016,0.3249400556087494,0.3249399960041046,1.6506013870239258,0.16820505261421204,,,,
,,0.05,7728,,,,,,,,,,,,,
46,,,7895,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
46,-0.017172962427139282,,7895,,,,,0.3250088393688202,0.32512155175209045,0.32512155175209045,1.6731548309326172,0.168557807803154,,,,
,,0.05,7896,,,,,,,,,,,,,
47,,,8063,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
47,-0.015408361330628395,,8063,,,,,0.3247079849243164,0.3247557282447815,0.3247557580471039,1.655147910118103,0.16786035895347595,,,,
,,0.05,8064,,,,,,,,,,,,,
48,,,8231,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
48,-0.01652095466852188,,8231,,,,,0.3249090909957886,0.324961394071579,0.3249613642692566,1.653207540512085,0.16823019087314606,,,,
,,0.05,8232,,,,,,,,,,,,,
49,,,8399,,,,,,,,,,0.3212602734565735,0.3212602734565735,1.7667733430862427,0.16240166127681732
49,-0.016482457518577576,,8399,,,,,0.32512861490249634,0.3250541090965271,0.3250541687011719,1.6484743356704712,0.16841161251068115,,,,
50,,,8400,0.3223724365234375,0.3223724365234375,2.684734582901001,0.16349737346172333,,,,,,,,,
